order_id,order_date,category,product,region,segment,ship_mode,payment,quantity,unit_price,discount,revenue,profit,profit_margin,month,month_num,quarter,weekday
ORD100045,2023-11-26,Sports,Cycle,South,Home Office,Same Day,Net Banking,1,16949.71,0.15,14407.25,2629.02,18.25,November,11,Q4,Sunday
ORD100046,2023-04-28,Books,Comics,East,Home Office,Economy,COD,4,1190.37,0.0,4761.48,1980.69,41.6,April,4,Q2,Friday
ORD100047,2023-04-08,Home & Kitchen,Lamp,East,Corporate,Standard,Debit Card,2,9773.67,0.0,19547.34,10068.01,51.51,April,4,Q2,Saturday
ORD100048,2023-06-08,Books,Textbook,South,Consumer,Same Day,Credit Card,3,613.88,0.0,1841.64,862.12,46.81,June,6,Q2,Thursday
ORD100049,2023-06-25,Clothing,Jacket,East,Corporate,Economy,COD,5,4606.75,0.15,19578.69,7322.66,37.4,June,6,Q2,Sunday
ORD100050,2023-01-27,Home & Kitchen,Lamp,South,Consumer,Same Day,UPI,3,12163.68,0.05,34666.49,12471.57,35.98,January,1,Q1,Friday
ORD100051,2023-02-18,Clothing,Kurta,West,Consumer,Same Day,Net Banking,4,4345.24,0.2,13904.77,3413.71,24.55,February,2,Q1,Saturday
ORD100052,2023-03-03,Home & Kitchen,Mixer,Central,Corporate,Same Day,Debit Card,4,14071.13,0.0,56284.52,17463.96,31.03,March,3,Q1,Friday
ORD100053,2023-04-03,Books,Biography,North,Consumer,Same Day,Net Banking,4,1424.38,0.0,5697.52,2293.14,40.25,April,4,Q2,Monday
ORD100054,2023-09-05,Electronics,Laptop,East,Home Office,Economy,COD,1,47371.3,0.1,42634.17,15798.5,37.06,September,9,Q3,Tuesday
ORD100055,2023-12-06,Books,Self-Help,West,Consumer,Same Day,UPI,3,939.03,0.0,2817.09,1465.07,52.01,December,12,Q4,Wednesday
ORD100056,2023-09-24,Home & Kitchen,Lamp,South,Home Office,Economy,COD,5,6569.82,0.15,27921.73,7627.3,27.32,September,9,Q3,Sunday
ORD100057,2023-04-25,Books,Comics,Central,Consumer,Standard,COD,2,609.23,0.05,1157.54,561.22,48.48,April,4,Q2,Tuesday
ORD100058,2023-12-13,Home & Kitchen,Bedsheet,Central,Corporate,Economy,Net Banking,1,6058.14,0.15,5149.42,1585.73,30.79,December,12,Q4,Wednesday
ORD100059,2023-09-19,Home & Kitchen,Mixer,East,Consumer,Express,COD,2,14806.16,0.0,29612.32,9245.01,31.22,September,9,Q3,Tuesday
ORD100060,2023-07-18,Sports,Cycle,North,Consumer,Express,Net Banking,3,2877.47,0.1,7769.17,2403.92,30.94,July,7,Q3,Tuesday
ORD100061,2023-06-11,Sports,Running Shoes,East,Home Office,Same Day,Net Banking,2,9441.69,0.0,18883.38,8960.51,47.45,June,6,Q2,Sunday
ORD100062,2023-10-11,Home & Kitchen,Mixer,Central,Consumer,Standard,Net Banking,1,14957.0,0.2,11965.6,4173.35,34.88,October,10,Q4,Wednesday
ORD100063,2023-02-03,Sports,Cricket Bat,Central,Consumer,Standard,Credit Card,4,13177.44,0.1,47438.78,11898.78,25.08,February,2,Q1,Friday
ORD100064,2023-04-16,Home & Kitchen,Mixer,West,Home Office,Standard,UPI,5,11763.14,0.0,58815.7,18958.68,32.23,April,4,Q2,Sunday
ORD100065,2023-10-20,Electronics,Laptop,South,Home Office,Standard,UPI,1,50444.39,0.2,40355.51,14647.12,36.3,October,10,Q4,Friday
ORD100066,2023-10-27,Books,Biography,Central,Corporate,Standard,Debit Card,1,1398.84,0.15,1189.01,315.39,26.53,October,10,Q4,Friday
ORD100067,2023-09-29,Clothing,T-Shirt,North,Home Office,Express,UPI,1,2670.8,0.05,2537.26,914.74,36.05,September,9,Q3,Friday
ORD100068,2023-07-10,Sports,Cycle,Central,Home Office,Same Day,Debit Card,1,4264.31,0.0,4264.31,1588.56,37.25,July,7,Q3,Monday
ORD100069,2023-11-19,Electronics,Laptop,East,Consumer,Express,UPI,4,8176.29,0.0,32705.16,12186.12,37.26,November,11,Q4,Sunday
ORD100070,2023-04-03,Books,Fiction Novel,West,Home Office,Same Day,Debit Card,3,1472.02,0.05,4195.26,1342.4,32.0,April,4,Q2,Monday
ORD100071,2023-07-30,Electronics,Smartphone,South,Corporate,Express,COD,5,27600.7,0.0,138003.5,51759.04,37.51,July,7,Q3,Sunday
ORD100072,2023-02-17,Electronics,Laptop,North,Home Office,Standard,COD,4,43126.46,0.0,172505.84,74428.99,43.15,February,2,Q1,Friday
ORD100073,2023-08-12,Clothing,T-Shirt,Central,Corporate,Standard,Debit Card,2,2310.57,0.15,3927.97,1115.28,28.39,August,8,Q3,Saturday
ORD100074,2023-04-20,Sports,Yoga Mat,East,Corporate,Express,UPI,4,11971.97,0.0,47887.88,25906.63,54.1,April,4,Q2,Thursday
ORD100075,2023-09-14,Clothing,T-Shirt,East,Corporate,Same Day,Credit Card,3,2958.69,0.1,7988.46,2556.42,32.0,September,9,Q3,Thursday
ORD100076,2023-07-12,Clothing,Jacket,South,Home Office,Same Day,COD,1,2880.53,0.05,2736.5,989.45,36.16,July,7,Q3,Wednesday
ORD100077,2023-07-03,Books,Self-Help,South,Home Office,Standard,Credit Card,5,1389.4,0.15,5904.95,1875.21,31.76,July,7,Q3,Monday
ORD100078,2023-11-14,Home & Kitchen,Water Purifier,Central,Home Office,Standard,UPI,1,7665.05,0.0,7665.05,4077.69,53.2,November,11,Q4,Tuesday
ORD100079,2023-04-25,Clothing,Kurta,Central,Consumer,Express,COD,2,1112.25,0.15,1890.83,476.78,25.22,April,4,Q2,Tuesday
ORD100080,2023-09-01,Books,Biography,North,Corporate,Express,Debit Card,4,620.54,0.0,2482.16,992.34,39.98,September,9,Q3,Friday
ORD100081,2023-04-24,Sports,Cricket Bat,North,Home Office,Economy,Credit Card,5,15556.05,0.0,77780.25,29407.45,37.81,April,4,Q2,Monday
ORD100082,2023-06-20,Sports,Cycle,North,Home Office,Standard,Debit Card,4,709.19,0.0,2836.76,1187.83,41.87,June,6,Q2,Tuesday
ORD100083,2023-11-03,Sports,Dumbbells,West,Consumer,Same Day,Debit Card,5,11341.4,0.0,56707.0,17149.31,30.24,November,11,Q4,Friday
ORD100084,2023-06-25,Sports,Yoga Mat,East,Home Office,Standard,Credit Card,5,2060.96,0.15,8759.08,3004.42,34.3,June,6,Q2,Sunday
ORD100085,2023-03-26,Electronics,Smartphone,North,Corporate,Economy,Debit Card,5,8348.68,0.1,37569.06,15736.64,41.89,March,3,Q1,Sunday
ORD100086,2023-11-08,Books,Self-Help,West,Corporate,Same Day,Debit Card,2,216.85,0.0,433.7,147.07,33.91,November,11,Q4,Wednesday
ORD100087,2023-05-14,Books,Comics,Central,Corporate,Economy,COD,4,180.41,0.15,613.39,191.32,31.19,May,5,Q2,Sunday
ORD100088,2023-06-07,Clothing,Kurta,Central,Consumer,Same Day,UPI,4,3912.32,0.15,13301.89,4284.81,32.21,June,6,Q2,Wednesday
ORD100089,2023-07-13,Sports,Yoga Mat,North,Corporate,Economy,COD,2,10226.93,0.15,17385.78,7644.73,43.97,July,7,Q3,Thursday
ORD100090,2023-04-05,Books,Comics,North,Corporate,Economy,Net Banking,1,347.69,0.0,347.69,174.57,50.21,April,4,Q2,Wednesday
ORD100091,2023-01-03,Home & Kitchen,Bedsheet,North,Home Office,Same Day,Net Banking,2,9177.92,0.05,17438.05,7902.09,45.32,January,1,Q1,Tuesday
ORD100092,2023-08-26,Books,Biography,Central,Corporate,Same Day,Credit Card,5,968.12,0.05,4598.57,1498.85,32.59,August,8,Q3,Saturday
ORD100093,2023-02-11,Sports,Cycle,Central,Corporate,Same Day,Debit Card,4,17402.63,0.0,69610.52,25539.86,36.69,February,2,Q1,Saturday
ORD100094,2023-10-27,Sports,Cycle,West,Home Office,Same Day,Net Banking,1,19411.39,0.2,15529.11,5395.26,34.74,October,10,Q4,Friday
ORD100095,2023-10-11,Clothing,T-Shirt,Central,Home Office,Economy,Debit Card,1,491.49,0.05,466.92,185.58,39.75,October,10,Q4,Wednesday
ORD100096,2023-03-23,Clothing,Saree,East,Corporate,Economy,Credit Card,1,2233.82,0.15,1898.75,846.16,44.56,March,3,Q1,Thursday
ORD100097,2023-05-17,Sports,Running Shoes,South,Consumer,Economy,Net Banking,5,1220.93,0.0,6104.65,3283.24,53.78,May,5,Q2,Wednesday
ORD100098,2023-05-24,Books,Comics,Central,Corporate,Standard,COD,1,1182.98,0.2,946.38,195.36,20.64,May,5,Q2,Wednesday
ORD100099,2023-01-02,Clothing,T-Shirt,South,Home Office,Same Day,UPI,4,4333.05,0.05,16465.59,6436.19,39.09,January,1,Q1,Monday
ORD100100,2023-06-01,Books,Self-Help,Central,Corporate,Express,Net Banking,4,1353.78,0.1,4873.61,2115.07,43.4,June,6,Q2,Thursday
ORD100101,2023-05-25,Sports,Dumbbells,East,Home Office,Economy,UPI,2,12011.24,0.05,22821.36,10360.75,45.4,May,5,Q2,Thursday
ORD100102,2023-07-14,Books,Fiction Novel,Central,Corporate,Express,Net Banking,3,578.04,0.15,1474.0,343.6,23.31,July,7,Q3,Friday
ORD100103,2023-12-31,Home & Kitchen,Bedsheet,West,Corporate,Standard,Credit Card,1,8835.64,0.0,8835.64,3311.42,37.48,December,12,Q4,Sunday
ORD100104,2023-01-31,Home & Kitchen,Water Purifier,North,Corporate,Standard,Debit Card,2,7705.29,0.0,15410.58,7068.15,45.87,January,1,Q1,Tuesday
ORD100105,2023-05-06,Electronics,Smartphone,Central,Home Office,Economy,Net Banking,3,52590.52,0.2,126217.25,38638.98,30.61,May,5,Q2,Saturday
ORD100106,2023-07-24,Home & Kitchen,Bedsheet,South,Home Office,Economy,Credit Card,2,4625.84,0.2,7401.34,2694.32,36.4,July,7,Q3,Monday
ORD100107,2023-08-27,Home & Kitchen,Water Purifier,Central,Consumer,Express,Credit Card,4,9065.8,0.1,32636.88,13604.29,41.68,August,8,Q3,Sunday
ORD100108,2023-04-02,Electronics,Laptop,West,Corporate,Economy,Net Banking,1,70573.58,0.0,70573.58,28908.89,40.96,April,4,Q2,Sunday
ORD100109,2023-09-04,Home & Kitchen,Water Purifier,West,Home Office,Express,Net Banking,3,14923.18,0.1,40292.59,11028.55,27.37,September,9,Q3,Monday
ORD100110,2023-04-27,Home & Kitchen,Mixer,Central,Home Office,Same Day,COD,2,8651.48,0.0,17302.96,6692.26,38.68,April,4,Q2,Thursday
ORD100111,2023-02-07,Home & Kitchen,Mixer,North,Consumer,Same Day,UPI,1,14416.73,0.15,12254.22,5618.63,45.85,February,2,Q1,Tuesday
ORD100112,2023-11-07,Sports,Running Shoes,North,Corporate,Express,Net Banking,4,10563.71,0.0,42254.84,22701.83,53.73,November,11,Q4,Tuesday
ORD100113,2023-04-21,Electronics,Smartwatch,South,Corporate,Standard,UPI,4,20526.54,0.2,65684.93,20647.12,31.43,April,4,Q2,Friday
ORD100114,2023-04-11,Clothing,T-Shirt,East,Consumer,Express,Debit Card,1,4354.86,0.0,4354.86,1841.92,42.3,April,4,Q2,Tuesday
ORD100115,2023-04-06,Home & Kitchen,Bedsheet,East,Consumer,Economy,Debit Card,4,12697.45,0.05,48250.31,21300.09,44.14,April,4,Q2,Thursday
ORD100116,2023-06-26,Sports,Cycle,North,Corporate,Express,COD,4,4950.93,0.0,19803.72,6285.78,31.74,June,6,Q2,Monday
ORD100117,2023-02-20,Books,Fiction Novel,North,Consumer,Economy,UPI,1,165.37,0.0,165.37,52.97,32.03,February,2,Q1,Monday
ORD100118,2023-02-02,Sports,Cricket Bat,East,Consumer,Same Day,Net Banking,4,2657.27,0.1,9566.17,4140.98,43.29,February,2,Q1,Thursday
ORD100119,2023-08-14,Sports,Running Shoes,Central,Home Office,Economy,COD,1,17140.7,0.05,16283.66,7872.96,48.35,August,8,Q3,Monday
ORD100120,2023-11-28,Clothing,Jeans,Central,Consumer,Express,Net Banking,3,4618.25,0.05,13162.01,4837.3,36.75,November,11,Q4,Tuesday
ORD100121,2023-08-08,Sports,Cricket Bat,East,Corporate,Same Day,Credit Card,2,16084.66,0.0,32169.32,15953.12,49.59,August,8,Q3,Tuesday
ORD100122,2023-09-14,Sports,Cricket Bat,North,Corporate,Same Day,COD,4,1081.78,0.0,4327.12,2359.33,54.52,September,9,Q3,Thursday
ORD100123,2023-11-21,Books,Textbook,South,Consumer,Economy,UPI,4,543.33,0.0,2173.32,872.68,40.15,November,11,Q4,Tuesday
ORD100124,2023-04-07,Books,Comics,North,Home Office,Standard,Debit Card,4,341.29,0.05,1296.9,344.1,26.53,April,4,Q2,Friday
ORD100125,2023-11-24,Sports,Running Shoes,East,Corporate,Standard,Net Banking,3,2974.74,0.1,8031.8,2051.72,25.54,November,11,Q4,Friday
ORD100126,2023-05-06,Electronics,Smartphone,West,Home Office,Economy,UPI,3,8788.98,0.1,23730.25,9922.18,41.81,May,5,Q2,Saturday
ORD100127,2023-11-15,Electronics,Laptop,West,Corporate,Standard,Debit Card,3,22346.04,0.15,56982.4,22563.95,39.6,November,11,Q4,Wednesday
ORD100128,2023-04-08,Home & Kitchen,Pressure Cooker,West,Home Office,Economy,UPI,3,10325.5,0.15,26330.02,8000.16,30.38,April,4,Q2,Saturday
ORD100129,2023-10-18,Home & Kitchen,Water Purifier,East,Corporate,Economy,UPI,3,680.81,0.0,2042.43,857.7,41.99,October,10,Q4,Wednesday
ORD100130,2023-05-12,Books,Biography,Central,Consumer,Standard,Net Banking,1,652.41,0.1,587.17,269.22,45.85,May,5,Q2,Friday
ORD100131,2023-03-19,Electronics,Smartwatch,Central,Home Office,Same Day,COD,5,73443.71,0.0,367218.55,158840.3,43.25,March,3,Q1,Sunday
ORD100132,2023-07-14,Books,Textbook,West,Home Office,Same Day,Debit Card,1,823.34,0.15,699.84,178.84,25.55,July,7,Q3,Friday
ORD100133,2023-10-19,Electronics,Tablet,North,Consumer,Express,Net Banking,5,69917.94,0.2,279671.76,113628.67,40.63,October,10,Q4,Thursday
ORD100134,2023-12-06,Home & Kitchen,Mixer,Central,Corporate,Express,Net Banking,5,14698.76,0.0,73493.8,27205.34,37.02,December,12,Q4,Wednesday
ORD100135,2023-05-30,Clothing,Jeans,East,Home Office,Same Day,Debit Card,4,3030.23,0.0,12120.92,4842.99,39.96,May,5,Q2,Tuesday
ORD100136,2023-05-02,Electronics,Laptop,North,Consumer,Same Day,UPI,2,33290.45,0.0,66580.9,34437.16,51.72,May,5,Q2,Tuesday
ORD100137,2023-02-06,Clothing,T-Shirt,East,Home Office,Express,Credit Card,5,1444.15,0.0,7220.75,2611.2,36.16,February,2,Q1,Monday
ORD100138,2023-06-15,Home & Kitchen,Pressure Cooker,South,Consumer,Standard,UPI,3,3193.61,0.05,9101.79,3668.46,40.3,June,6,Q2,Thursday
ORD100139,2023-06-30,Home & Kitchen,Mixer,South,Consumer,Standard,Credit Card,5,9961.53,0.1,44826.89,21035.12,46.93,June,6,Q2,Friday
ORD100140,2023-08-13,Clothing,Jacket,Central,Corporate,Economy,Debit Card,4,4420.42,0.2,14145.34,1836.38,12.98,August,8,Q3,Sunday
ORD100141,2023-07-21,Electronics,Headphones,Central,Home Office,Same Day,Net Banking,1,27834.99,0.0,27834.99,14634.4,52.58,July,7,Q3,Friday
ORD100142,2023-02-08,Home & Kitchen,Bedsheet,Central,Corporate,Same Day,Debit Card,1,2897.01,0.0,2897.01,1477.25,50.99,February,2,Q1,Wednesday
ORD100143,2023-05-28,Books,Comics,North,Home Office,Standard,Credit Card,2,619.12,0.15,1052.5,260.02,24.7,May,5,Q2,Sunday
ORD100144,2023-05-21,Books,Biography,South,Consumer,Economy,Net Banking,2,268.04,0.2,428.86,174.17,40.61,May,5,Q2,Sunday
ORD100145,2023-03-31,Electronics,Tablet,North,Home Office,Same Day,COD,3,38739.45,0.0,116218.35,43284.21,37.24,March,3,Q1,Friday
ORD100146,2023-04-19,Books,Textbook,North,Consumer,Economy,UPI,4,842.72,0.0,3370.88,1647.69,48.88,April,4,Q2,Wednesday
ORD100147,2023-06-29,Sports,Cricket Bat,South,Corporate,Economy,Debit Card,4,10594.4,0.0,42377.6,17695.34,41.76,June,6,Q2,Thursday
ORD100148,2023-11-01,Clothing,T-Shirt,Central,Consumer,Standard,Credit Card,1,889.75,0.2,711.8,204.19,28.69,November,11,Q4,Wednesday
ORD100149,2023-01-11,Home & Kitchen,Water Purifier,North,Home Office,Standard,Credit Card,2,4171.18,0.2,6673.89,2671.74,40.03,January,1,Q1,Wednesday
ORD100150,2023-08-30,Sports,Cycle,North,Home Office,Economy,UPI,5,9567.78,0.0,47838.9,19950.18,41.7,August,8,Q3,Wednesday
ORD100151,2023-02-25,Sports,Dumbbells,West,Corporate,Same Day,UPI,4,9640.81,0.15,32778.75,6549.33,19.98,February,2,Q1,Saturday
ORD100152,2023-08-21,Sports,Yoga Mat,West,Home Office,Standard,Credit Card,4,15991.91,0.1,57570.88,16778.1,29.14,August,8,Q3,Monday
ORD100153,2023-01-01,Sports,Running Shoes,South,Consumer,Economy,UPI,3,12960.77,0.15,33049.96,5896.81,17.84,January,1,Q1,Sunday
ORD100154,2023-07-01,Clothing,Kurta,South,Consumer,Economy,Net Banking,3,905.57,0.0,2716.71,1064.76,39.19,July,7,Q3,Saturday
ORD100155,2023-08-29,Clothing,Kurta,North,Corporate,Same Day,COD,4,2466.63,0.0,9866.52,3947.36,40.01,August,8,Q3,Tuesday
ORD100156,2023-08-02,Home & Kitchen,Pressure Cooker,North,Home Office,Express,Credit Card,1,3069.91,0.1,2762.92,732.17,26.5,August,8,Q3,Wednesday
ORD100157,2023-07-13,Sports,Cycle,North,Consumer,Express,COD,4,19840.25,0.05,75392.95,26586.02,35.26,July,7,Q3,Thursday
ORD100158,2023-02-24,Books,Textbook,West,Corporate,Same Day,Net Banking,2,1133.65,0.0,2267.3,928.56,40.95,February,2,Q1,Friday
ORD100159,2023-05-05,Sports,Yoga Mat,East,Corporate,Express,UPI,3,13117.9,0.0,39353.7,17628.92,44.8,May,5,Q2,Friday
ORD100160,2023-04-22,Sports,Cricket Bat,North,Home Office,Express,COD,1,13516.05,0.1,12164.44,3842.24,31.59,April,4,Q2,Saturday
ORD100161,2023-04-01,Electronics,Laptop,North,Consumer,Economy,Credit Card,4,69547.28,0.15,236460.75,64828.55,27.42,April,4,Q2,Saturday
ORD100162,2023-09-28,Books,Fiction Novel,South,Home Office,Same Day,Debit Card,2,496.21,0.1,893.18,220.73,24.71,September,9,Q3,Thursday
ORD100163,2023-04-04,Books,Comics,North,Consumer,Same Day,COD,5,953.69,0.15,4053.18,1161.74,28.66,April,4,Q2,Tuesday
ORD100164,2023-09-13,Home & Kitchen,Pressure Cooker,Central,Home Office,Same Day,Credit Card,3,10438.7,0.0,31316.1,14091.76,45.0,September,9,Q3,Wednesday
ORD100165,2023-04-28,Home & Kitchen,Mixer,West,Corporate,Express,Net Banking,5,12882.77,0.0,64413.85,26658.5,41.39,April,4,Q2,Friday
ORD100166,2023-04-26,Sports,Yoga Mat,Central,Home Office,Economy,UPI,3,5262.0,0.2,12628.8,1879.03,14.88,April,4,Q2,Wednesday
ORD100167,2023-06-25,Books,Biography,West,Consumer,Same Day,Net Banking,4,1167.39,0.0,4669.56,2035.4,43.59,June,6,Q2,Sunday
ORD100168,2023-04-15,Books,Textbook,South,Corporate,Economy,Credit Card,3,460.19,0.1,1242.51,479.75,38.61,April,4,Q2,Saturday
ORD100169,2023-05-03,Sports,Running Shoes,North,Home Office,Standard,UPI,1,646.39,0.0,646.39,226.64,35.06,May,5,Q2,Wednesday
ORD100170,2023-04-15,Books,Comics,North,Home Office,Standard,UPI,1,261.1,0.0,261.1,78.42,30.03,April,4,Q2,Saturday
ORD100171,2023-12-24,Home & Kitchen,Bedsheet,Central,Consumer,Same Day,Net Banking,4,14027.06,0.0,56108.24,29882.68,53.26,December,12,Q4,Sunday
ORD100172,2023-09-17,Clothing,Jeans,Central,Corporate,Standard,UPI,2,4458.68,0.1,8025.62,3763.47,46.89,September,9,Q3,Sunday
ORD100173,2023-09-08,Home & Kitchen,Bedsheet,North,Home Office,Standard,COD,3,7761.11,0.0,23283.33,9006.65,38.68,September,9,Q3,Friday
ORD100174,2023-04-27,Electronics,Headphones,South,Consumer,Express,UPI,4,12139.93,0.15,41275.76,7567.25,18.33,April,4,Q2,Thursday
ORD100175,2023-05-09,Home & Kitchen,Pressure Cooker,West,Home Office,Economy,COD,1,10247.83,0.15,8710.66,2081.69,23.9,May,5,Q2,Tuesday
ORD100176,2023-03-03,Sports,Running Shoes,East,Consumer,Economy,Credit Card,2,6770.14,0.15,11509.24,2703.35,23.49,March,3,Q1,Friday
